HDR,ROLLING SYSTEM DEMAND
VD,20220202090000,37951
VD,20220202090500,38202
VD,20220202091000,38305
VD,20220202091500,38487
VD,20220202092000,38595
VD,20220202092500,38627
VD,20220202093000,38679
VD,20220202093500,38572
VD,20220202094000,38502
VD,20220202094500,38504
VD,20220202095000,38434
VD,20220202095500,38277
VD,20220202100000,38194
VD,20220202100500,38442
VD,20220202101000,38539
VD,20220202101500,38478
VD,20220202102000,38318
VD,20220202102500,38212
VD,20220202103000,38107
VD,20220202103500,38151
VD,20220202104000,38077
VD,20220202104500,37918
VD,20220202105000,37936
VD,20220202105500,37935
VD,20220202110000,37859
VD,20220202110500,37809
VD,20220202111000,37719
VD,20220202111500,37684
VD,20220202112000,37642
VD,20220202112500,37630
VD,20220202113000,37650
VD,20220202113500,37667
VD,20220202114000,37580
VD,20220202114500,37546
VD,20220202115000,37525
VD,20220202115500,37526
VD,20220202120000,37478
VD,20220202120500,37154
VD,20220202121000,36899
VD,20220202121500,37061
VD,20220202122000,37090
VD,20220202122500,37064
VD,20220202123000,37024
VD,20220202123500,36878
VD,20220202124000,36885
VD,20220202124500,36838
VD,20220202125000,36849
VD,20220202125500,36976
VD,20220202130000,37064
VD,20220202130500,36896
VD,20220202131000,36979
VD,20220202131500,36854
VD,20220202132000,36516
VD,20220202132500,36529
VD,20220202133000,36614
VD,20220202133500,36564
VD,20220202134000,36544
VD,20220202134500,36481
VD,20220202135000,36514
VD,20220202135500,36568
VD,20220202140000,36504
VD,20220202140500,36605
VD,20220202141000,36648
VD,20220202141500,36622
VD,20220202142000,36352
VD,20220202142500,36146
VD,20220202143000,36205
VD,20220202143500,36474
VD,20220202144000,36593
VD,20220202144500,36540
VD,20220202145000,36763
VD,20220202145500,36805
VD,20220202150000,36801
VD,20220202150500,36793
VD,20220202151000,36924
VD,20220202151500,37090
VD,20220202152000,37143
VD,20220202152500,37234
VD,20220202153000,37408
VD,20220202153500,37588
VD,20220202154000,37624
VD,20220202154500,37713
VD,20220202155000,37996
VD,20220202155500,38221
VD,20220202160000,38358
VD,20220202160500,38595
VD,20220202161000,38709
VD,20220202161500,38871
VD,20220202162000,39072
VD,20220202162500,39113
VD,20220202163000,39113
VD,20220202163500,39409
VD,20220202164000,39635
VD,20220202164500,39933
VD,20220202165000,40491
VD,20220202165500,40890
VD,20220202170000,41210
VD,20220202170500,41735
VD,20220202171000,41874
VD,20220202171500,42078
VD,20220202172000,42442
VD,20220202172500,42721
